username,full_name,is_verified,has_anonymous_profile_picture,biography_len,external_url,followers,following,has_clips,highlight_count,is_professional_account,is_private,media_count,total_tags,total_likes,total_comments,name_length,media_count_of_data_collected,average_likes
shkb_shaz,شكيب شاهز💫MuhammedShakkeeb,0,0,68,0,1177,1091,1,10,1,0,102,25,3788,107,26.0,12,315.6666666666667
sayoojbkumar,💲🅱️k,0,0,51,1,853,851,0,14,1,0,79,29,2996,281,4.0,12,249.66666666666666
devadath__pramod_,Devadath      亗ㅤ,0,0,0,0,307,292,0,1,0,0,2,0,290,49,16.0,2,145.0
muhd____ramshad,Ramshad,0,0,0,0,371,623,0,2,0,0,4,8,520,24,7.0,4,130.0
s_h_i_n_z_,Shins,0,0,0,0,598,166,0,0,1,0,2,0,687,18,5.0,2,343.5
rami_jahan__,رميسة جهان ,0,0,0,0,242,231,0,11,0,1,0,0,0,0,12.0,0,0.0
sidharth.a_s_s,sidhartha sakthidharan,0,0,28,0,506,489,0,0,0,1,13,17,1603,98,22.0,12,133.58333333333334
famis___firoz,Famis ___ firoz,0,0,0,0,997,781,1,4,0,0,28,7,3307,295,15.0,12,275.5833333333333
akshay__p_r,Akshay p r,0,0,75,0,615,367,0,5,0,1,5,7,969,113,10.0,5,193.8
_f__i_da__,ائشة  فدة,0,1,0,0,463,797,0,0,0,1,0,0,0,0,10.0,0,0.0
____anshi__,U.A,0,0,150,0,2735,177,1,14,1,0,80,0,2125,145,3.0,12,177.08333333333334
non_h_e_a_d_e_r,.محمد رقيب🌼,0,0,62,0,1705,1644,1,13,1,0,114,20,3426,104,11.0,12,285.5
sdd410_,Ft.me,0,0,5,0,1036,1073,0,3,0,1,0,0,0,0,5.0,0,0.0
___.abnv.__,🌻ABHINAV🌻,0,0,36,0,891,680,1,6,1,0,10,13,2410,221,9.0,10,241.0
abin__1,🍁   abin    🍁,0,0,35,0,442,599,0,0,1,0,3,22,685,11,13.0,3,228.33333333333334
sarang_dileep_,Sarang Dileep,0,0,0,0,477,554,0,0,0,1,9,1,1086,75,13.0,9,120.66666666666667
sidhique.sidhi,s_dh_que.s_dh_,0,0,4,0,1033,790,0,0,1,0,5,13,868,122,14.0,5,173.6
adillnazar,Adil,0,0,16,0,751,341,1,5,0,1,6,3,876,170,4.0,6,146.0
chinmay_ks,chinmay ks,0,0,0,0,719,735,0,1,0,1,3,4,501,4,10.0,3,167.0
