username,full_name,is_verified,has_anonymous_profile_picture,biography_len,external_url,followers,following,has_clips,highlight_count,is_professional_account,is_private,media_count,total_tags,total_likes,total_comments,name_length,media_count_of_data_collected,average_likes
m_4_myran,0,0,0,72,0,6,19,0,0,0,1,0,0,0,0,0,0,0
imsorrymone_,�ഷഡ്ഡി വിറ്റ സൂപ്പർമാൻ�,0,0,85,0,9,12,0,0,0,0,0,0,0,0,23,0,0
vidhya_sree12,Sreevidhya,0,0,92,0,47,43,0,0,0,1,0,0,0,0,10,0,0
abcd.tharadas,കീരിക്കാടൻ  ജോസിന്റെ അച്ഛൻ,0,0,26,0,49,20,0,0,1,0,2,0,3,0,27,2,1.5
s_a_c_h_i_n5434,SACHIN,0,1,0,0,22,95,0,0,0,0,0,0,0,0,6,0,0
prince.p.j.96995,Prince P. J,0,1,0,0,33,166,0,0,0,0,1,0,4,0,11,1,4
the_fallen_angel_555_,0,0,1,0,0,17,35,0,0,0,1,0,0,0,0,0,0,0
amal_najeeb7,Amal Najeeb,0,0,0,0,102,267,0,0,0,0,0,0,0,0,11,0,0
keral___girl_,####,0,1,0,0,9,9,0,0,0,0,2,0,2,0,4,2,1
dhamodharji,ദാമോദർജി,0,0,0,0,47,156,0,0,0,0,0,0,0,0,9,0,0
babunamboothithiri,jaseel,0,0,109,0,32,92,0,0,0,0,6,3,64,0,6,6,10.66666667
xhos.ter,xhos.ter,0,0,25,0,3,27,0,0,0,0,0,0,0,0,8,0,0
ayisha_mehrin__0,❤️Ayishuuu�,0,0,66,0,40,5,0,0,1,0,0,0,0,0,11,0,0
glitch_ff_7,GLITCH FF,0,0,38,0,56,202,1,0,0,0,1,0,82,3,9,1,82
kissuu_7,0,0,1,41,0,58,101,0,0,0,1,0,0,0,0,0,0,0
dr_crow_mental,Doctor crow mental,0,0,28,0,26,59,0,0,1,0,21,0,0,0,18,12,0
naughtyboy1682,r_a_h_u_l,0,0,23,0,11,14,0,0,0,0,1,0,1,3,9,1,1
a_k22_58,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
da_ooombfiii_,കിളിരാജ്,0,0,23,0,44,35,0,0,0,0,0,0,0,0,8,0,0
ikkafanboy834,0,0,0,0,0,40,52,0,0,0,1,1,0,9,0,0,1,9
